City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
201,Lamar,33.6668,-95.5836,93.63,58,0,0.0,US,2022-06-17 16:05:22
202,Denpasar,-8.65,115.2167,82.06,89,40,6.91,ID,2022-06-17 16:05:23
203,Lawang,-7.8353,112.6947,70.07,92,100,2.39,ID,2022-06-17 16:05:23
204,Evensk,61.95,159.2333,45.43,97,100,2.68,RU,2022-06-17 16:05:23
205,Bongandanga,1.5,21.05,70.86,98,100,4.38,CD,2022-06-17 16:05:24
206,Leningradskiy,69.3833,178.4167,34.61,78,37,2.89,RU,2022-06-17 16:05:24
207,Itarema,-2.9248,-39.9167,84.22,62,85,10.47,BR,2022-06-17 16:05:24
208,Den Helder,52.9599,4.7593,80.58,39,75,20.71,NL,2022-06-17 16:03:56
209,Vanimo,-2.6741,141.3028,77.13,89,29,6.15,PG,2022-06-17 16:05:25
210,Bow Island,49.8668,-111.3684,69.48,57,91,12.28,CA,2022-06-17 16:05:25
211,Tiznit,29.5833,-9.5,86.41,33,3,8.77,MA,2022-06-17 16:02:37
212,Cap Malheureux,-19.9842,57.6142,70.47,76,1,10.54,MU,2022-06-17 16:05:25
213,Narsaq,60.9167,-46.05,53.82,60,100,3.04,GL,2022-06-17 16:05:26
214,Pucallpa,-8.3791,-74.5539,86.04,62,40,2.3,PE,2022-06-17 16:05:26
215,Valdivia,-39.8142,-73.2459,39.29,80,19,1.28,CL,2022-06-17 16:05:26
216,Pahrump,36.2083,-115.9839,88.32,14,0,8.01,US,2022-06-17 16:05:27
217,Tsumeb,-19.2333,17.7167,71.91,22,0,3.56,NA,2022-06-17 16:05:27
218,Ocos,14.5094,-92.1933,80.78,85,100,6.44,GT,2022-06-17 16:05:27
219,Talas,38.6908,35.5538,79.47,32,20,10.36,TR,2022-06-17 16:05:28
220,Sechura,-5.5569,-80.8222,70.5,61,30,12.24,PE,2022-06-17 16:05:28
221,Kruisfontein,-34.0033,24.7314,61.88,31,51,5.41,ZA,2022-06-17 16:05:28
222,Roald,62.5833,6.1333,61.9,88,75,8.05,NO,2022-06-17 16:05:29
223,Sibolga,1.7427,98.7792,74.84,94,100,4.94,ID,2022-06-17 16:05:29
224,Camacha,33.0833,-16.3333,69.22,68,40,13.8,PT,2022-06-17 16:05:29
225,Katsuura,35.1333,140.3,72.81,89,100,16.58,JP,2022-06-17 16:05:30
226,La Ronge,55.1001,-105.2842,48.88,81,100,9.22,CA,2022-06-17 16:05:04
227,Rantauprapat,2.1,99.8333,73.67,99,95,2.62,ID,2022-06-17 16:05:30
228,Ahipara,-35.1667,173.1667,57.0,92,92,6.67,NZ,2022-06-17 16:05:31
229,Ambon,-3.6954,128.1814,80.24,13,40,4.61,ID,2022-06-17 16:05:31
230,Joensuu,62.6012,29.7632,52.29,82,75,9.22,FI,2022-06-17 16:05:31
231,Haines Junction,60.7522,-137.5108,62.33,48,100,1.95,CA,2022-06-17 16:05:32
232,Saint-Francois,46.4154,3.9054,92.68,31,0,5.75,FR,2022-06-17 16:05:32
233,Qui Nhon,13.7667,109.2333,81.36,85,9,4.99,VN,2022-06-17 16:05:32
234,Lebanon,36.2081,-86.2911,91.62,69,87,10.87,US,2022-06-17 16:01:22
235,Franklin,39.9667,-83.0166,86.47,48,75,16.11,US,2022-06-17 16:05:33
236,Deputatskiy,69.3,139.9,35.51,79,16,4.16,RU,2022-06-17 16:05:33
237,Uchiza,-8.4592,-76.4633,81.48,54,6,2.53,PE,2022-06-17 16:05:33
238,Behbahan,30.5959,50.2417,103.05,5,0,8.46,IR,2022-06-17 16:05:34
239,Conceicao Do Araguaia,-8.2578,-49.2647,91.54,38,12,4.27,BR,2022-06-17 16:05:34
240,Taiyuan,37.8694,112.5603,80.46,50,0,17.9,CN,2022-06-17 16:00:48
241,Gboko,7.3179,8.9951,71.74,91,99,6.35,NG,2022-06-17 16:05:34
242,Raudeberg,61.9875,5.1352,54.95,93,100,17.0,NO,2022-06-17 16:05:35
243,Viedma,-40.8135,-62.9967,48.36,42,6,23.87,AR,2022-06-17 16:05:35
244,Solnechnyy,50.7214,136.6319,56.14,97,100,3.69,RU,2022-06-17 16:05:35
245,Perene,-10.9492,-75.2261,83.44,35,0,3.53,PE,2022-06-17 16:05:36
246,Comodoro Rivadavia,-45.8667,-67.5,44.46,49,0,33.38,AR,2022-06-17 16:04:17
247,Chernyshevskiy,63.0128,112.4714,54.64,51,7,2.95,RU,2022-06-17 16:05:36
248,Avera,33.194,-82.5271,92.55,38,31,8.08,US,2022-06-17 16:05:36
249,Kavali,14.9167,79.9833,86.36,70,84,13.58,IN,2022-06-17 16:05:37
250,Oga,46.4631,10.347,74.97,34,85,8.12,IT,2022-06-17 16:05:37
251,Geraldton,-28.7667,114.6,66.61,77,75,23.02,AU,2022-06-17 16:05:37
252,Egvekinot,66.3167,-179.1667,35.26,95,97,3.56,RU,2022-06-17 16:04:12
253,Isla Mujeres,21.2311,-86.731,86.16,74,97,12.39,MX,2022-06-17 16:05:38
254,Provideniya,64.3833,-173.3,47.79,55,14,3.11,RU,2022-06-17 16:05:38
255,Hasaki,35.7333,140.8333,66.6,87,100,8.48,JP,2022-06-17 16:05:38
256,Rio Grande,-32.035,-52.0986,60.91,96,100,12.21,BR,2022-06-17 16:05:38
257,Nefteyugansk,61.0998,72.6035,64.85,67,90,7.63,RU,2022-06-17 16:05:39
258,Ylivieska,64.0833,24.55,62.89,54,37,5.66,FI,2022-06-17 16:05:39
259,Tautira,-17.7333,-149.15,78.28,73,36,15.1,PF,2022-06-17 16:01:14
260,Abha,18.2164,42.5053,75.45,53,40,4.61,SA,2022-06-17 16:05:39
261,Salinas,36.6777,-121.6555,62.01,66,100,8.05,US,2022-06-17 16:05:40
262,Atasu,48.6814,71.6433,70.74,44,41,12.73,KZ,2022-06-17 16:05:40
263,Vardo,70.3705,31.1107,40.98,93,75,9.22,NO,2022-06-17 16:05:40
264,Laguna De Perlas,12.3429,-83.6712,82.42,73,96,1.95,NI,2022-06-17 16:05:41
265,Coihaique,-45.5752,-72.0662,42.75,52,75,5.75,CL,2022-06-17 16:03:03
266,Sitka,57.0531,-135.33,55.29,76,75,6.91,US,2022-06-17 16:05:41
267,Craigieburn,-37.6,144.95,48.11,94,75,8.05,AU,2022-06-17 16:05:41
268,Ascension,30.2169,-90.9001,92.08,71,40,0.0,US,2022-06-17 16:05:42
269,Naze,28.3667,129.4833,74.5,88,100,21.03,JP,2022-06-17 16:05:42
270,Tambopata,-12.7333,-69.1833,85.89,54,20,4.61,PE,2022-06-17 16:05:43
271,Pangoa,-12.1167,-73.0,81.3,45,0,2.66,PE,2022-06-17 16:05:43
272,Imeni Poliny Osipenko,52.4201,136.4853,55.27,91,100,6.69,RU,2022-06-17 16:05:43
273,George,-33.963,22.4617,62.37,42,1,3.65,ZA,2022-06-17 16:05:43
274,Los Llanos De Aridane,28.6585,-17.9182,73.15,78,20,14.97,ES,2022-06-17 16:05:44
275,Pulaski,34.7668,-92.3001,91.83,68,40,8.05,US,2022-06-17 16:05:44
276,Paita,-5.0892,-81.1144,68.29,68,22,14.56,PE,2022-06-17 16:05:44
277,Lieksa,63.3167,30.0167,46.74,89,100,10.07,FI,2022-06-17 16:05:45
278,Asyut,27.181,31.1837,96.85,19,0,16.28,EG,2022-06-17 16:05:45
279,Gushikawa,26.3544,127.8686,76.23,98,75,6.91,JP,2022-06-17 16:05:45
280,Santa Rosa,14.3122,121.1114,87.78,72,36,6.22,PH,2022-06-17 16:03:31
281,Esmeraldas,-19.7625,-44.3139,76.06,27,0,4.97,BR,2022-06-17 16:03:34
282,Bilma,18.6853,12.9164,105.71,10,40,12.01,NE,2022-06-17 16:05:46
283,Lasa,46.6166,10.7002,85.69,35,95,6.62,IT,2022-06-17 16:05:46
284,Ayagoz,47.9714,80.4392,61.18,48,29,6.8,KZ,2022-06-17 16:05:47
285,Constitucion,-35.3333,-72.4167,55.83,52,8,7.67,CL,2022-06-17 16:05:47
286,Coahuayana,18.7333,-103.6833,86.68,58,100,4.74,MX,2022-06-17 16:05:47
287,Imbituba,-28.24,-48.6703,75.38,60,100,11.16,BR,2022-06-17 16:05:48
288,Zhaoyuan,37.3592,120.3964,71.73,80,79,12.24,CN,2022-06-17 16:05:48
289,Alofi,-19.0595,-169.9187,78.21,77,63,23.91,NU,2022-06-17 16:05:48
290,Verkh-Tula,54.8839,82.7762,58.78,88,100,11.18,RU,2022-06-17 16:05:48
291,Athabasca,54.7169,-113.2854,57.45,92,100,10.87,CA,2022-06-17 16:05:49
292,Vila Franca Do Campo,37.7167,-25.4333,73.81,69,0,2.64,PT,2022-06-17 16:05:49
293,Forbes,-33.3833,148.0167,42.93,91,65,4.61,AU,2022-06-17 16:05:49
