City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
204,Fairbanks,US,70.61,shower rain,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
205,Thompson,CA,80.51,overcast clouds,55.7435,-97.8558,Burntwood Hotel
206,Atar,MR,80.22,moderate rain,20.5169,-13.0499,Oumou Elghoura
207,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
208,Alexandria,EG,73.69,clear sky,31.2156,29.9553,Royal Crown Hotel
209,Mogadishu,SO,78.42,overcast clouds,2.0371,45.3438,Hotel Juba
211,Sakete,BJ,72.55,overcast clouds,6.7362,2.6587,IBUKUN OLUWA
214,Monrovia,LR,77.67,clear sky,6.3005,-10.7969,Sunset Inn
216,Iracoubo,GF,77.65,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
217,Ixmiquilpan,MX,66.16,broken clouds,20.4833,-99.2333,Hotel Avenida Ixmiquilpan
218,Araouane,ML,91.62,few clouds,18.9048,-3.5265,
219,Dauphin,CA,69.94,thunderstorm with rain,51.1494,-100.0502,Canway Inn & Suites
220,Graciano Sanchez,MX,84.27,overcast clouds,23.9167,-99.2833,Familia Martinez Martinez
221,Jiayuguan,CN,68.0,overcast clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
223,Castanos,MX,90.34,few clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
224,Cabo San Lucas,MX,87.62,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
226,Najran,SA,78.08,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
230,Inirida,CO,71.62,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
232,Komsomolskiy,UZ,75.04,overcast clouds,40.4272,71.7189,Ikathouse
234,Khorinsk,RU,70.12,clear sky,52.1657,109.7726,Uda
238,Kutno,PL,68.29,overcast clouds,52.2306,19.3641,Hotel Stacja Kutno
240,Gamba,GA,70.75,broken clouds,-2.65,10.0,
242,Belle Fourche,US,91.33,scattered clouds,44.6714,-103.8522,Super 8 by Wyndham Belle Fourche SD
244,Sao Felix Do Xingu,BR,72.7,broken clouds,-6.6447,-51.995,Rio Xingu Camping
247,Rolla,US,82.54,clear sky,37.9514,-91.7713,"Holiday Inn Express & Suites Rolla - Univ of Missouri S&T, an IHG Hotel"
248,Tshikapa,CD,75.22,overcast clouds,-6.4167,20.8,Tatem beach
250,Akonolinga,CM,65.71,light rain,3.7667,12.25,Le Diamant De Mireille
253,Matiari,PK,84.27,clear sky,25.5961,68.4467,Zawar Khadim Hussain HOUES
258,Las Vegas,US,89.04,clear sky,36.175,-115.1372,Plaza Hotel & Casino
259,Caravelas,BR,70.95,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
261,Odessa,UA,66.76,clear sky,46.4775,30.7326,Londonskaya Hotel
263,Mushie,CD,75.38,overcast clouds,-3.0167,16.9,
266,Lodwar,KE,77.83,overcast clouds,3.1191,35.5973,Solmar Gracious Hotel
267,Zhangjiakou,CN,79.18,overcast clouds,40.81,114.8794,Shell Zhangjiakou City Qiaodong District Ginza Hotel
268,Namatanai,PG,84.69,clear sky,-3.6667,152.4333,Seagulls Inn Namatani
269,Mirpur Sakro,PK,83.66,overcast clouds,24.5474,67.6277,Ali muhammad’s house
270,Santa Cruz,BO,71.89,clear sky,-17.8,-63.1667,Aviador Hotel Boutique
