City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Sao Filipe,CV,14.8961,-24.4956,73.89,94,100,8.08,light rain
79,Bredasdorp,ZA,-34.5322,20.0403,48.47,86,0,2.59,clear sky
80,Big Spring,US,32.2504,-101.4787,95.45,27,40,19.57,scattered clouds
81,Lorengau,PG,-2.0226,147.2712,83.89,68,36,4.72,scattered clouds
82,San Quintin,MX,30.4833,-115.95,67.26,66,0,14.63,clear sky
83,Avarua,CK,-21.2078,-159.775,80.65,69,40,14.97,scattered clouds
84,Dikson,RU,73.5069,80.5464,36.72,89,100,12.93,overcast clouds
85,Qaanaaq,GL,77.484,-69.3632,35.28,85,82,2.35,broken clouds
86,Georgetown,MY,5.4112,100.3354,82.33,83,20,1.14,few clouds
87,Pathein,MM,16.7833,94.7333,79.34,90,100,3.74,overcast clouds
88,La Ronge,CA,55.1001,-105.2842,69.78,50,100,5.19,overcast clouds
89,Wuwei,CN,37.9281,102.6414,72.19,41,100,3.06,overcast clouds
90,High Level,CA,58.5169,-117.136,62.26,62,94,4.0,overcast clouds
91,Bluff,NZ,-46.6,168.3333,45.81,75,95,3.71,overcast clouds
92,Eyl,SO,7.9803,49.8164,77.92,67,100,23.44,overcast clouds
93,Carbonia,IT,39.1672,8.5222,70.45,71,0,6.93,clear sky
94,Juneau,US,58.3019,-134.4197,57.22,89,100,4.14,overcast clouds
95,Ilulissat,GL,69.2167,-51.1,39.22,87,13,9.22,few clouds
96,Mangrol,IN,21.1167,70.1167,84.22,80,100,14.99,overcast clouds
97,Poum,NC,-20.2333,164.0167,73.72,61,0,21.77,clear sky
98,Karratha,AU,-20.7377,116.8463,72.16,43,0,18.52,clear sky
99,Puerto Escondido,MX,15.85,-97.0667,79.25,87,100,1.16,overcast clouds
100,Butaritari,KI,3.0707,172.7902,82.94,73,100,14.09,light rain
101,Bandarbeyla,SO,9.4942,50.8122,77.77,69,10,28.95,clear sky
102,Mabaruma,GY,8.2,-59.7833,74.14,89,68,4.14,broken clouds
103,Chokurdakh,RU,70.6333,147.9167,38.7,81,100,20.42,overcast clouds
104,Castro,BR,-24.7911,-50.0119,50.4,92,63,2.73,broken clouds
105,Nanao,JP,37.05,136.9667,86.27,63,0,6.29,clear sky
106,Victoria,HK,22.2855,114.1577,86.38,84,100,17.0,overcast clouds
107,Tecpan,GT,14.7623,-90.9947,54.18,98,100,2.86,overcast clouds
108,Xining,CN,36.6167,101.7667,61.0,60,100,1.23,overcast clouds
109,Lebu,CL,-37.6167,-73.65,51.22,93,100,11.56,light rain
110,Koumac,NC,-20.5667,164.2833,73.92,57,1,16.35,clear sky
